Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (12669356),Giannis Antetokounmpo,12669356,SF/PF/F/UTIL,10300,MIL@TOR 05/19/2019 07:00PM ET,MIL,57.28
SF/PF,Kawhi Leonard (12669360),Kawhi Leonard,12669360,SF/PF/F/UTIL,10200,MIL@TOR 05/19/2019 07:00PM ET,TOR,46.36
SF/PF,Kevin Durant (12669364),Kevin Durant,12669364,SF/PF/F/UTIL,9500,GS@POR 05/18/2019 09:00PM ET,GS,46.91
PG/SG,Stephen Curry (12669368),Stephen Curry,12669368,PG/SG/G/UTIL,9400,GS@POR 05/18/2019 09:00PM ET,GS,46.12
PG,Damian Lillard (12669372),Damian Lillard,12669372,PG/G/UTIL,8300,GS@POR 05/18/2019 09:00PM ET,POR,45.68
PF/C,Draymond Green (12669375),Draymond Green,12669375,PF/C/F/UTIL,7900,GS@POR 05/18/2019 09:00PM ET,GS,32.87
PG/SG,CJ McCollum (12669379),CJ McCollum,12669379,PG/SG/G/UTIL,7400,GS@POR 05/18/2019 09:00PM ET,POR,34.33
SG,Klay Thompson (12669383),Klay Thompson,12669383,SG/G/UTIL,7200,GS@POR 05/18/2019 09:00PM ET,GS,33.71
PG,Kyle Lowry (12669386),Kyle Lowry,12669386,PG/G/UTIL,6700,MIL@TOR 05/19/2019 07:00PM ET,TOR,36.61
SG/SF,Khris Middleton (12669389),Khris Middleton,12669389,SG/SF/F/G/UTIL,6600,MIL@TOR 05/19/2019 07:00PM ET,MIL,34.51
PF/C,Pascal Siakam (12669394),Pascal Siakam,12669394,PF/C/F/UTIL,6300,MIL@TOR 05/19/2019 07:00PM ET,TOR,33.51
PG/SG,Malcolm Brogdon (12669398),Malcolm Brogdon,12669398,PG/SG/G/UTIL,5500,MIL@TOR 05/19/2019 07:00PM ET,MIL,27.90
PG,Eric Bledsoe (12669402),Eric Bledsoe,12669402,PG/G/UTIL,5400,MIL@TOR 05/19/2019 07:00PM ET,MIL,32.99
C,Marc Gasol (12669405),Marc Gasol,12669405,C/UTIL,5300,MIL@TOR 05/19/2019 07:00PM ET,TOR,32.94
SG/SF,Andre Iguodala (12669407),Andre Iguodala,12669407,SG/SF/F/G/UTIL,5200,GS@POR 05/18/2019 09:00PM ET,GS,19.81
C,DeMarcus Cousins (12669412),DeMarcus Cousins,12669412,C/UTIL,5100,GS@POR 05/18/2019 09:00PM ET,GS,35.91
C,Enes Kanter (12669414),Enes Kanter,12669414,C/UTIL,5000,GS@POR 05/18/2019 09:00PM ET,POR,30.09
C,Brook Lopez (12669416),Brook Lopez,12669416,C/UTIL,4700,MIL@TOR 05/19/2019 07:00PM ET,MIL,26.40
PF/C,Nikola Mirotic (12669418),Nikola Mirotic,12669418,PF/C/F/UTIL,4600,MIL@TOR 05/19/2019 07:00PM ET,MIL,28.02
SF/PF,Moe Harkless (12669422),Moe Harkless,12669422,SF/PF/F/UTIL,4500,GS@POR 05/18/2019 09:00PM ET,POR,19.5
PF/C,Kevon Looney (12669426),Kevon Looney,12669426,PF/C/F/UTIL,4400,GS@POR 05/18/2019 09:00PM ET,GS,17.09
SG/SF,Rodney Hood (12669435),Rodney Hood,12669435,SG/SF/F/G/UTIL,4200,GS@POR 05/18/2019 09:00PM ET,POR,18.28
SG/SF,Danny Green (12669430),Danny Green,12669430,SG/SF/F/G/UTIL,4200,MIL@TOR 05/19/2019 07:00PM ET,TOR,21.09
PF/C,Serge Ibaka (12669440),Serge Ibaka,12669440,PF/C/F/UTIL,4100,MIL@TOR 05/19/2019 07:00PM ET,TOR,28.97
SG/SF,Pat Connaughton (12669444),Pat Connaughton,12669444,SG/SF/F/G/UTIL,3900,MIL@TOR 05/19/2019 07:00PM ET,MIL,18.02
SF/PF,Al-Farouq Aminu (12669449),Al-Farouq Aminu,12669449,SF/PF/F/UTIL,3600,GS@POR 05/18/2019 09:00PM ET,POR,23.24
PG/SG,George Hill (12669453),George Hill,12669453,PG/SG/G/UTIL,3600,MIL@TOR 05/19/2019 07:00PM ET,MIL,16.88
PG/SG,Seth Curry (12669457),Seth Curry,12669457,PG/SG/G/UTIL,3500,GS@POR 05/18/2019 09:00PM ET,POR,12.67
