Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (12663770),Giannis Antetokounmpo,12663770,CPT,17700,TOR@MIL 05/17/2019 08:30PM ET,MIL,57.19
SF,Kawhi Leonard (12663771),Kawhi Leonard,12663771,CPT,16800,TOR@MIL 05/17/2019 08:30PM ET,TOR,46.38
PF,Pascal Siakam (12663772),Pascal Siakam,12663772,CPT,13800,TOR@MIL 05/17/2019 08:30PM ET,TOR,33.72
SG,Khris Middleton (12663773),Khris Middleton,12663773,CPT,12600,TOR@MIL 05/17/2019 08:30PM ET,MIL,34.72
PF,Giannis Antetokounmpo (12663738),Giannis Antetokounmpo,12663738,UTIL,11800,TOR@MIL 05/17/2019 08:30PM ET,MIL,57.19
PG,Kyle Lowry (12663774),Kyle Lowry,12663774,CPT,11700,TOR@MIL 05/17/2019 08:30PM ET,TOR,36.74
SF,Kawhi Leonard (12663739),Kawhi Leonard,12663739,UTIL,11200,TOR@MIL 05/17/2019 08:30PM ET,TOR,46.38
PG,Malcolm Brogdon (12663775),Malcolm Brogdon,12663775,CPT,10500,TOR@MIL 05/17/2019 08:30PM ET,MIL,27.87
C,Brook Lopez (12663776),Brook Lopez,12663776,CPT,9900,TOR@MIL 05/17/2019 08:30PM ET,MIL,26.51
PG,Eric Bledsoe (12663777),Eric Bledsoe,12663777,CPT,9300,TOR@MIL 05/17/2019 08:30PM ET,MIL,33.08
PF,Pascal Siakam (12663740),Pascal Siakam,12663740,UTIL,9200,TOR@MIL 05/17/2019 08:30PM ET,TOR,33.72
C,Marc Gasol (12663778),Marc Gasol,12663778,CPT,8700,TOR@MIL 05/17/2019 08:30PM ET,TOR,33.18
SG,Khris Middleton (12663741),Khris Middleton,12663741,UTIL,8400,TOR@MIL 05/17/2019 08:30PM ET,MIL,34.72
PG,Kyle Lowry (12663742),Kyle Lowry,12663742,UTIL,7800,TOR@MIL 05/17/2019 08:30PM ET,TOR,36.74
SG,Danny Green (12663779),Danny Green,12663779,CPT,7800,TOR@MIL 05/17/2019 08:30PM ET,TOR,21.13
PF,Nikola Mirotic (12663780),Nikola Mirotic,12663780,CPT,7200,TOR@MIL 05/17/2019 08:30PM ET,MIL,28.10
PG,Malcolm Brogdon (12663743),Malcolm Brogdon,12663743,UTIL,7000,TOR@MIL 05/17/2019 08:30PM ET,MIL,27.87
C,Brook Lopez (12663744),Brook Lopez,12663744,UTIL,6600,TOR@MIL 05/17/2019 08:30PM ET,MIL,26.51
PF,Serge Ibaka (12663781),Serge Ibaka,12663781,CPT,6300,TOR@MIL 05/17/2019 08:30PM ET,TOR,29.04
PG,Eric Bledsoe (12663745),Eric Bledsoe,12663745,UTIL,6200,TOR@MIL 05/17/2019 08:30PM ET,MIL,33.08
C,Marc Gasol (12663746),Marc Gasol,12663746,UTIL,5800,TOR@MIL 05/17/2019 08:30PM ET,TOR,33.18
