Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (13041956),Davante Adams,13041956,CPT,18900,GB@CHI 09/05/2019 08:20PM ET,GB,22.97
QB,Aaron Rodgers (13041957),Aaron Rodgers,13041957,CPT,18600,GB@CHI 09/05/2019 08:20PM ET,GB,20.60
QB,Mitchell Trubisky (13041958),Mitchell Trubisky,13041958,CPT,17400,GB@CHI 09/05/2019 08:20PM ET,CHI,20.67
RB,Aaron Jones (13041959),Aaron Jones,13041959,CPT,13800,GB@CHI 09/05/2019 08:20PM ET,GB,14.62
WR,Allen Robinson II (13041960),Allen Robinson II,13041960,CPT,12900,GB@CHI 09/05/2019 08:20PM ET,CHI,13.61
WR,Davante Adams (13041891),Davante Adams,13041891,FLEX,12600,GB@CHI 09/05/2019 08:20PM ET,GB,22.97
RB,Tarik Cohen (13041961),Tarik Cohen,13041961,CPT,12600,GB@CHI 09/05/2019 08:20PM ET,CHI,14.63
QB,Aaron Rodgers (13041892),Aaron Rodgers,13041892,FLEX,12400,GB@CHI 09/05/2019 08:20PM ET,GB,20.60
RB,David Montgomery (13041962),David Montgomery,13041962,CPT,12300,GB@CHI 09/05/2019 08:20PM ET,CHI,0
QB,Mitchell Trubisky (13041893),Mitchell Trubisky,13041893,FLEX,11600,GB@CHI 09/05/2019 08:20PM ET,CHI,20.67
WR,Geronimo Allison (13041963),Geronimo Allison,13041963,CPT,11100,GB@CHI 09/05/2019 08:20PM ET,GB,12.46
WR,Marquez Valdes-Scantling (13041964),Marquez Valdes-Scantling,13041964,CPT,10200,GB@CHI 09/05/2019 08:20PM ET,GB,7.31
WR,Anthony Miller (13041965),Anthony Miller,13041965,CPT,9900,GB@CHI 09/05/2019 08:20PM ET,CHI,8.10
QB,Chase Daniel (13041966),Chase Daniel,13041966,CPT,9600,GB@CHI 09/05/2019 08:20PM ET,CHI,6.54
QB,Tyler Bray (13041967),Tyler Bray,13041967,CPT,9600,GB@CHI 09/05/2019 08:20PM ET,CHI,0
QB,Tim Boyle (13041968),Tim Boyle,13041968,CPT,9600,GB@CHI 09/05/2019 08:20PM ET,GB,0
QB,Manny Wilkins (13041969),Manny Wilkins,13041969,CPT,9600,GB@CHI 09/05/2019 08:20PM ET,GB,0
QB,DeShone Kizer (13041970),DeShone Kizer,13041970,CPT,9600,GB@CHI 09/05/2019 08:20PM ET,GB,2.79
WR,Taylor Gabriel (13041971),Taylor Gabriel,13041971,CPT,9300,GB@CHI 09/05/2019 08:20PM ET,CHI,9.92
RB,Aaron Jones (13041894),Aaron Jones,13041894,FLEX,9200,GB@CHI 09/05/2019 08:20PM ET,GB,14.62
